,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
98754,descada01,2014,1,SLN,NL,104,161,20,39,11,0,0,10.0,1.0,3.0,20,33.0,0.0,2.0,1.0,0.0,2.0
98756,desmoia01,2014,1,WAS,NL,154,593,73,151,26,3,24,91.0,24.0,5.0,46,183.0,0.0,6.0,0.0,3.0,17.0
98763,dickeco01,2014,1,COL,NL,131,436,74,136,27,6,24,76.0,8.0,7.0,37,101.0,6.0,1.0,0.0,4.0,6.0
98766,dietrde01,2014,1,MIA,NL,49,158,31,36,6,2,5,17.0,1.0,0.0,13,38.0,0.0,10.0,2.0,0.0,1.0
98771,dominma01,2014,1,HOU,AL,157,564,51,121,17,0,16,57.0,0.0,1.0,29,125.0,2.0,5.0,2.0,7.0,23.0
98772,donaljo02,2014,1,OAK,AL,158,608,93,155,31,2,29,98.0,8.0,0.0,76,130.0,5.0,7.0,0.0,4.0,16.0
98776,doumiry01,2014,1,ATL,NL,100,157,11,31,4,0,5,17.0,1.0,0.0,7,49.0,1.0,1.0,0.0,1.0,1.0
98780,doziebr01,2014,1,MIN,AL,156,598,112,145,33,1,23,71.0,21.0,7.0,89,129.0,1.0,9.0,3.0,8.0,8.0
98782,drewst01,2014,1,BOS,AL,39,131,11,23,6,1,4,11.0,1.0,1.0,14,39.0,2.0,0.0,0.0,0.0,1.0
98783,drewst01,2014,2,NYA,AL,46,140,7,21,8,0,3,15.0,0.0,0.0,13,36.0,1.0,0.0,0.0,2.0,0.0
98784,dudalu01,2014,1,NYN,NL,153,514,74,130,27,0,30,92.0,3.0,2.0,69,135.0,8.0,9.0,0.0,4.0,9.0
98789,dunnad01,2014,1,CHA,AL,106,363,43,80,17,0,20,54.0,1.0,1.0,65,132.0,5.0,3.0,0.0,4.0,5.0
98794,dysonja01,2014,1,KCA,AL,120,260,33,70,4,4,1,24.0,36.0,7.0,22,52.0,0.0,0.0,6.0,2.0,5.0
98796,eatonad02,2014,1,CHA,AL,123,486,76,146,26,10,1,35.0,15.0,9.0,43,83.0,0.0,5.0,2.0,2.0,4.0
98801,ellisaj01,2014,1,LAN,NL,93,283,21,54,9,0,3,25.0,0.0,0.0,53,57.0,5.0,4.0,3.0,4.0,15.0
98802,ellisma01,2014,1,SLN,NL,73,178,15,32,6,0,0,12.0,4.0,1.0,14,38.0,3.0,4.0,4.0,2.0,0.0
98803,ellsbja01,2014,1,NYA,AL,149,575,71,156,27,5,16,70.0,39.0,5.0,49,93.0,5.0,3.0,0.0,7.0,9.0
98805,encared01,2014,1,TOR,AL,128,477,75,128,27,2,34,98.0,2.0,0.0,62,82.0,6.0,2.0,0.0,1.0,18.0
98808,escobal02,2014,1,KCA,AL,162,579,74,165,34,5,3,50.0,31.0,6.0,23,83.0,1.0,6.0,8.0,4.0,12.0
98809,escobed01,2014,1,MIN,AL,133,433,52,119,35,2,6,37.0,1.0,1.0,24,93.0,1.0,2.0,4.0,2.0,6.0
98811,escobyu01,2014,1,TBA,AL,137,476,33,123,18,0,7,39.0,1.0,1.0,43,60.0,3.0,4.0,4.0,2.0,15.0
98812,espinda01,2014,1,WAS,NL,114,333,31,73,14,3,8,27.0,8.0,1.0,18,122.0,5.0,12.0,0.0,1.0,5.0
98814,ethiean01,2014,1,LAN,NL,130,341,29,85,17,6,4,42.0,2.0,2.0,31,74.0,3.0,6.0,1.0,1.0,5.0
98830,fieldpr01,2014,1,TEX,AL,42,150,19,37,8,0,3,16.0,0.0,0.0,25,24.0,11.0,2.0,0.0,1.0,5.0
98840,flahery01,2014,1,BAL,AL,102,281,33,62,15,1,7,32.0,1.0,0.0,22,68.0,2.0,5.0,3.0,1.0,3.0
98842,florewi01,2014,1,NYN,NL,78,259,28,65,13,1,6,29.0,1.0,0.0,12,31.0,2.0,1.0,1.0,1.0,6.0
98844,flowety01,2014,1,CHA,AL,127,407,42,98,16,1,15,50.0,0.0,1.0,25,159.0,0.0,8.0,1.0,1.0,10.0
98849,forsylo01,2014,1,TBA,AL,110,301,32,67,12,1,6,26.0,2.0,0.0,25,71.0,0.0,4.0,2.0,4.0,9.0
98850,fowlede01,2014,1,HOU,AL,116,434,61,120,21,4,8,35.0,11.0,4.0,66,108.0,2.0,3.0,1.0,1.0,6.0
98856,francju02,2014,1,TOR,AL,106,287,40,63,16,2,16,43.0,0.0,2.0,27,116.0,0.0,3.0,0.0,3.0,6.0
98858,frandke01,2014,1,WAS,NL,105,220,17,57,8,0,1,17.0,0.0,0.0,6,26.0,0.0,7.0,2.0,1.0,7.0
98863,frazito01,2014,1,CIN,NL,157,597,88,163,22,1,29,80.0,20.0,8.0,52,139.0,2.0,7.0,0.0,4.0,9.0
98864,freemfr01,2014,1,ATL,NL,162,607,93,175,43,4,18,78.0,3.0,4.0,90,145.0,4.0,8.0,0.0,3.0,18.0
98866,freesda01,2014,1,LAA,AL,134,462,53,120,25,1,10,55.0,1.0,3.0,38,124.0,0.0,6.0,0.0,5.0,10.0
98875,fuldsa01,2014,2,MIN,AL,53,164,15,45,10,0,1,17.0,12.0,3.0,26,29.0,1.0,0.0,3.0,2.0,0.0
