,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
103681,maxwebr01,2017,1,OAK,AL,76,219,21,52,12,0,3,22.0,0.0,0.0,31,63.0,0.0,0.0,1.0,2.0,10.0
103682,maybica01,2017,1,LAA,AL,93,336,57,79,19,1,6,22.0,29.0,5.0,48,78.0,1.0,2.0,0.0,1.0,11.0
103687,mazarno01,2017,1,TEX,AL,148,554,64,140,30,2,20,101.0,2.0,2.0,55,127.0,6.0,4.0,0.0,3.0,12.0
103690,mccanbr01,2017,1,HOU,AL,97,349,47,84,12,1,18,62.0,1.0,0.0,38,58.0,3.0,7.0,0.0,5.0,9.0
103691,mccanja02,2017,1,DET,AL,106,352,39,89,14,2,13,49.0,1.0,0.0,26,89.0,0.0,9.0,1.0,3.0,8.0
103715,merriwh01,2017,1,KCA,AL,145,587,80,169,32,6,19,78.0,34.0,8.0,29,88.0,0.0,6.0,1.0,7.0,13.0
103722,millebr02,2017,1,TBA,AL,110,338,43,68,13,3,9,40.0,5.0,3.0,63,110.0,4.0,2.0,0.0,4.0,5.0
103734,moncayo01,2017,1,CHA,AL,54,199,31,46,8,2,8,22.0,3.0,2.0,29,74.0,0.0,3.0,0.0,0.0,0.0
103746,moralke01,2017,1,TOR,AL,150,557,67,139,25,0,28,85.0,0.0,0.0,43,132.0,2.0,5.0,0.0,3.0,22.0
103748,morelmi01,2017,1,BOS,AL,149,508,73,125,34,0,22,79.0,0.0,1.0,57,120.0,6.0,6.0,0.0,5.0,14.0
103757,morrilo01,2017,1,TBA,AL,149,512,75,126,22,1,38,85.0,2.0,0.0,81,149.0,8.0,5.0,0.0,3.0,12.0
103761,mossbr01,2017,1,KCA,AL,118,362,41,75,14,0,22,50.0,2.0,0.0,37,128.0,0.0,0.0,0.0,2.0,7.0
103763,motteta01,2017,1,SEA,AL,92,258,29,51,12,0,7,26.0,12.0,1.0,21,62.0,0.0,0.0,0.0,1.0,9.0
103764,moustmi01,2017,1,KCA,AL,148,555,75,151,24,0,38,85.0,0.0,0.0,34,94.0,7.0,3.0,0.0,6.0,18.0
103773,napolmi01,2017,1,TEX,AL,124,425,60,82,11,1,29,66.0,1.0,2.0,49,163.0,3.0,7.0,0.0,3.0,11.0
103775,narvaom01,2017,1,CHA,AL,90,253,23,70,10,0,2,14.0,0.0,0.0,38,45.0,1.0,1.0,3.0,0.0,8.0
103799,norride01,2017,1,TBA,AL,53,179,21,36,5,0,9,24.0,1.0,0.0,12,48.0,0.0,3.0,0.0,4.0,5.0
103802,nunezed02,2017,2,BOS,AL,38,165,23,53,12,0,8,27.0,6.0,2.0,6,25.0,0.0,2.0,0.0,0.0,3.0
103808,odorro01,2017,1,TEX,AL,162,607,79,124,21,3,30,75.0,15.0,6.0,32,162.0,5.0,8.0,0.0,4.0,13.0
103814,olsonma02,2017,1,OAK,AL,59,189,33,49,2,0,24,45.0,0.0,0.0,22,60.0,1.0,5.0,0.0,0.0,6.0
