,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
67842,heathmi02,1990,1,DET,AL,122,370,46,100,18,2,7,38.0,7.0,6.0,19,71.0,0.0,4.0,2.0,3.0,12.0
67846,hendeda01,1990,1,OAK,AL,127,450,65,122,28,0,20,63.0,3.0,1.0,40,105.0,1.0,1.0,1.0,2.0,5.0
67847,henderi01,1990,1,OAK,AL,136,489,119,159,33,3,28,61.0,65.0,10.0,97,60.0,2.0,4.0,2.0,2.0,13.0
67853,hernake01,1990,1,CLE,AL,43,130,7,26,2,0,1,8.0,0.0,0.0,14,17.0,3.0,1.0,0.0,0.0,2.0
67865,hilldo01,1990,1,CAL,AL,103,352,36,93,18,2,3,32.0,1.0,2.0,29,27.0,1.0,1.0,6.0,4.0,10.0
67867,hillgl01,1990,1,TOR,AL,84,260,47,60,11,3,12,32.0,8.0,3.0,18,62.0,0.0,0.0,0.0,0.0,5.0
67877,hornsa01,1990,1,BAL,AL,79,246,30,61,13,0,14,45.0,0.0,0.0,32,62.0,1.0,0.0,0.0,2.0,8.0
67883,howelja02,1990,1,CAL,AL,105,316,35,72,19,1,8,33.0,3.0,0.0,46,61.0,5.0,1.0,1.0,2.0,3.0
67886,hrbekke01,1990,1,MIN,AL,143,492,61,141,26,0,22,79.0,5.0,2.0,69,45.0,8.0,7.0,2.0,8.0,17.0
67891,huletti01,1990,1,BAL,AL,53,153,16,39,7,1,3,16.0,1.0,0.0,15,41.0,0.0,0.0,1.0,0.0,2.0
67894,husonje01,1990,1,TEX,AL,145,396,57,95,12,2,0,28.0,12.0,4.0,46,54.0,0.0,2.0,7.0,3.0,8.0
67895,incavpe01,1990,1,TEX,AL,153,529,59,123,27,0,24,85.0,3.0,4.0,45,146.0,5.0,9.0,0.0,4.0,18.0
67899,jacksbo01,1990,1,KCA,AL,111,405,74,110,16,1,28,78.0,15.0,9.0,44,128.0,2.0,2.0,0.0,5.0,10.0
67903,jacobbr01,1990,1,CLE,AL,155,553,77,162,24,4,14,75.0,1.0,4.0,63,58.0,6.0,2.0,2.0,4.0,20.0
67904,jamesch02,1990,1,CLE,AL,140,528,62,158,32,4,12,70.0,4.0,3.0,31,71.0,4.0,4.0,3.0,3.0,11.0
67905,jamesdi01,1990,1,CLE,AL,87,248,28,68,15,2,1,22.0,5.0,3.0,27,23.0,3.0,1.0,3.0,1.0,6.0
67913,jeltzst01,1990,1,KCA,AL,74,103,11,16,4,0,0,10.0,1.0,1.0,6,21.0,0.0,0.0,4.0,1.0,3.0
67914,jennido01,1990,1,OAK,AL,64,156,19,30,7,2,2,14.0,0.0,3.0,17,48.0,0.0,2.0,2.0,3.0,1.0
67917,johnsla03,1990,1,CHA,AL,151,541,76,154,18,9,1,51.0,36.0,22.0,33,45.0,2.0,1.0,8.0,4.0,12.0
67925,jonestr01,1990,1,DET,AL,50,118,15,27,4,1,4,9.0,1.0,1.0,6,13.0,0.0,3.0,1.0,0.0,3.0
67928,josefe01,1990,1,OAK,AL,101,341,42,90,12,0,8,39.0,8.0,2.0,16,65.0,0.0,5.0,2.0,1.0,8.0
67930,joynewa01,1990,1,CAL,AL,83,310,35,83,15,0,8,41.0,2.0,1.0,41,34.0,4.0,1.0,1.0,5.0,10.0
67933,karkoro01,1990,1,CHA,AL,68,183,30,45,10,0,6,20.0,2.0,0.0,16,52.0,1.0,1.0,7.0,1.0,1.0
67934,kellyro01,1990,1,NYA,AL,162,641,85,183,32,4,15,61.0,42.0,17.0,33,148.0,0.0,4.0,4.0,4.0,7.0
67946,kittlro01,1990,1,CHA,AL,83,277,29,68,14,0,16,43.0,0.0,0.0,24,77.0,2.0,3.0,0.0,1.0,3.0
67953,kommibr01,1990,2,BAL,AL,46,101,18,24,4,0,3,8.0,1.0,1.0,14,29.0,1.0,2.0,2.0,0.0,2.0
67961,kunkeje01,1990,1,TEX,AL,99,200,17,34,11,1,3,17.0,2.0,1.0,11,66.0,0.0,2.0,5.0,0.0,7.0
67974,lansfca01,1990,1,OAK,AL,134,507,58,136,15,1,3,50.0,16.0,14.0,45,50.0,4.0,6.0,2.0,4.0,10.0
67977,larkige01,1990,1,MIN,AL,119,401,46,108,26,4,5,42.0,5.0,3.0,42,55.0,2.0,5.0,5.0,4.0,6.0
67984,leema02,1990,1,TOR,AL,117,391,45,95,12,4,6,41.0,3.0,1.0,26,90.0,0.0,0.0,1.0,3.0,9.0
