,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
103847,peralda01,2017,1,ARI,NL,140,525,82,154,31,3,14,57.0,8.0,4.0,43,94.0,1.0,6.0,0.0,3.0,7.0
103851,perazjo01,2017,1,CIN,NL,143,487,50,126,9,4,5,37.0,23.0,8.0,20,70.0,1.0,7.0,3.0,1.0,7.0
103854,perezhe01,2017,1,MIL,NL,136,432,47,112,19,3,14,51.0,13.0,4.0,20,79.0,1.0,0.0,2.0,4.0,8.0
103862,peterja01,2017,1,ATL,NL,89,186,15,40,9,2,2,17.0,3.0,0.0,27,48.0,3.0,1.0,1.0,0.0,4.0
103866,phamth01,2017,1,SLN,NL,128,444,95,136,22,2,23,73.0,25.0,7.0,71,117.0,0.0,10.0,2.0,3.0,18.0
103870,phillbr01,2017,1,ATL,NL,120,470,68,137,27,1,11,52.0,10.0,8.0,19,57.0,1.0,8.0,1.0,1.0,19.0
103875,pinama01,2017,1,MIL,NL,107,330,45,92,21,0,9,43.0,2.0,0.0,20,79.0,0.0,5.0,1.0,3.0,8.0
103879,pireljo01,2017,1,SDN,NL,83,312,43,90,25,4,10,40.0,4.0,3.0,27,71.0,0.0,2.0,1.0,2.0,8.0
103880,piscost01,2017,1,SLN,NL,107,341,40,80,16,1,9,39.0,3.0,6.0,52,87.0,2.0,5.0,0.0,3.0,11.0
103882,plaweke01,2017,1,NYN,NL,37,100,11,26,5,0,3,13.0,1.0,0.0,14,17.0,2.0,3.0,0.0,1.0,2.0
103885,polangr01,2017,1,PIT,NL,108,379,39,95,20,0,11,35.0,8.0,1.0,27,60.0,4.0,3.0,0.0,1.0,5.0
103887,polloaj01,2017,1,ARI,NL,112,425,73,113,33,6,14,49.0,20.0,6.0,35,71.0,1.0,6.0,0.0,0.0,8.0
103890,poseybu01,2017,1,SFN,NL,140,494,62,158,34,0,12,67.0,6.0,1.0,61,66.0,13.0,8.0,0.0,5.0,17.0
103895,pradoma01,2017,1,MIA,NL,37,140,13,35,9,0,2,12.0,0.0,0.0,6,22.0,0.0,0.0,0.0,1.0,4.0
103903,puigya01,2017,1,LAN,NL,152,499,72,131,24,2,28,74.0,15.0,6.0,64,100.0,8.0,2.0,0.0,5.0,21.0
103930,realmjt01,2017,1,MIA,NL,141,532,68,148,31,5,17,65.0,8.0,2.0,36,106.0,4.0,8.0,0.0,3.0,13.0
103941,rendoan01,2017,1,WAS,NL,147,508,81,153,41,1,25,100.0,7.0,2.0,84,82.0,6.0,7.0,0.0,6.0,7.0
103942,renfrhu01,2017,1,SDN,NL,122,445,51,103,25,1,26,58.0,3.0,0.0,27,140.0,1.0,6.0,0.0,1.0,4.0
103944,reyesjo01,2017,1,NYN,NL,145,501,75,123,25,7,15,58.0,24.0,6.0,50,79.0,1.0,2.0,5.0,3.0,3.0
103945,reynoma01,2017,1,COL,NL,148,520,82,139,22,1,30,97.0,2.0,1.0,69,175.0,0.0,1.0,0.0,3.0,12.0
103946,reynoma03,2017,1,NYN,NL,68,113,12,26,1,2,1,5.0,0.0,1.0,14,37.0,1.0,2.0,1.0,0.0,2.0
103951,riddljt01,2017,1,MIA,NL,70,228,20,57,13,1,3,31.0,0.0,2.0,12,50.0,2.0,0.0,2.0,5.0,6.0
103954,riverre01,2017,1,NYN,NL,54,174,15,40,4,0,8,23.0,0.0,1.0,9,54.0,3.0,3.0,0.0,1.0,3.0
103956,rivertj01,2017,1,NYN,NL,73,214,27,62,13,1,5,27.0,1.0,0.0,9,32.0,0.0,5.0,1.0,2.0,4.0
103958,rizzoan01,2017,1,CHN,NL,157,572,99,156,32,3,32,109.0,10.0,4.0,91,90.0,11.0,24.0,0.0,4.0,21.0
103980,rojasmi02,2017,1,MIA,NL,90,272,37,79,16,2,1,26.0,2.0,1.0,27,32.0,5.0,4.0,1.0,2.0,6.0
103992,rosaram01,2017,1,NYN,NL,46,165,16,41,4,4,4,10.0,7.0,3.0,3,49.0,0.0,2.0,0.0,0.0,3.0
104007,ruizri01,2017,1,ATL,NL,53,150,22,29,5,0,4,19.0,1.0,0.0,19,41.0,1.0,1.0,0.0,3.0,4.0
104009,ruppca01,2017,1,PHI,NL,88,295,35,64,17,0,14,34.0,1.0,0.0,34,114.0,3.0,1.0,0.0,1.0,5.0
104011,russead02,2017,1,CHN,NL,110,352,52,84,21,3,12,43.0,2.0,1.0,29,91.0,5.0,4.0,0.0,0.0,5.0
104030,sanchhe01,2017,1,SDN,NL,75,137,14,30,4,0,8,25.0,0.0,0.0,5,41.0,1.0,0.0,0.0,1.0,4.0
104033,sandopa01,2017,2,SFN,NL,47,160,17,36,9,0,5,20.0,0.0,0.0,8,29.0,0.0,1.0,0.0,2.0,7.0
104038,santada01,2017,2,ATL,NL,69,143,16,29,9,2,3,22.0,6.0,0.0,7,33.0,1.0,1.0,1.0,0.0,2.0
104039,santado01,2017,1,MIL,NL,151,525,88,146,29,0,30,85.0,15.0,4.0,73,178.0,2.0,6.0,0.0,3.0,12.0
104045,saundmi01,2017,1,PHI,NL,61,200,25,41,9,2,6,20.0,0.0,1.0,13,51.0,2.0,1.0,0.0,0.0,2.0
104049,schebsc01,2017,1,CIN,NL,141,473,63,110,25,2,30,67.0,5.0,3.0,39,125.0,5.0,14.0,0.0,5.0,7.0
104052,schimry01,2017,1,SDN,NL,53,165,24,26,2,0,14,25.0,0.0,0.0,27,70.0,0.0,3.0,0.0,2.0,0.0
104055,schwaky01,2017,1,CHN,NL,129,422,67,89,16,1,30,59.0,1.0,1.0,59,150.0,1.0,5.0,0.0,0.0,6.0
104060,seageco01,2017,1,LAN,NL,145,539,85,159,33,0,22,77.0,4.0,2.0,67,131.0,5.0,4.0,0.0,3.0,14.0
104072,shawtr01,2017,1,MIL,NL,144,538,84,147,34,1,31,101.0,10.0,0.0,60,138.0,6.0,4.0,1.0,3.0,20.0
104090,slateau01,2017,1,SFN,NL,34,117,15,33,3,1,3,16.0,0.0,0.0,8,29.0,0.0,2.0,0.0,0.0,3.0
104096,smithdo02,2017,1,NYN,NL,49,167,17,33,6,0,9,26.0,0.0,0.0,14,49.0,0.0,1.0,0.0,1.0,5.0
104110,sogarer01,2017,1,MIL,NL,94,249,37,68,15,1,3,18.0,3.0,3.0,45,37.0,2.0,4.0,1.0,0.0,7.0
104111,solarya01,2017,1,SDN,NL,128,466,49,119,21,0,18,64.0,3.0,0.0,37,61.0,4.0,5.0,0.0,4.0,18.0
104117,spande01,2017,1,SFN,NL,129,497,73,135,31,5,12,43.0,12.0,7.0,40,69.0,0.0,3.0,1.0,1.0,11.0
104118,spangco01,2017,1,SDN,NL,129,444,57,117,18,2,13,46.0,11.0,3.0,34,128.0,1.0,5.0,2.0,1.0,2.0
104124,stantmi03,2017,1,MIA,NL,159,597,123,168,32,0,59,132.0,2.0,2.0,85,163.0,13.0,7.0,0.0,3.0,13.0
104132,stewach01,2017,1,PIT,NL,51,131,8,24,1,2,0,4.0,0.0,0.0,9,22.0,1.0,1.0,3.0,0.0,3.0
104134,storytr01,2017,1,COL,NL,145,503,68,120,32,3,24,82.0,7.0,2.0,49,191.0,4.0,2.0,0.0,1.0,12.0
104147,suareeu01,2017,1,CIN,NL,156,534,87,139,25,2,26,82.0,4.0,5.0,84,147.0,1.0,9.0,0.0,5.0,16.0
104151,suzukic01,2017,1,MIA,NL,136,196,19,50,6,0,3,20.0,1.0,1.0,17,35.0,1.0,1.0,1.0,0.0,2.0
104152,suzukku01,2017,1,ATL,NL,81,276,38,78,13,0,19,50.0,0.0,0.0,17,39.0,2.0,13.0,1.0,2.0,5.0
104153,swansda01,2017,1,ATL,NL,144,488,59,113,23,2,6,51.0,3.0,3.0,59,120.0,10.0,0.0,0.0,4.0,7.0
104159,szczuma01,2017,2,SDN,NL,104,176,26,40,11,2,3,15.0,0.0,2.0,32,40.0,0.0,4.0,2.0,0.0,2.0
104163,tapiara01,2017,1,COL,NL,70,160,27,46,12,2,2,16.0,5.0,2.0,8,36.0,1.0,2.0,1.0,0.0,3.0
104166,tayloch03,2017,1,LAN,NL,140,514,85,148,34,5,21,72.0,17.0,4.0,50,142.0,0.0,3.0,0.0,1.0,2.0
104167,taylomi02,2017,1,WAS,NL,118,399,55,108,23,3,19,53.0,17.0,7.0,29,137.0,3.0,1.0,1.0,2.0,3.0
104171,telisto01,2017,1,MIA,NL,48,104,13,25,5,3,0,9.0,0.0,0.0,3,10.0,0.0,3.0,0.0,1.0,1.0
104175,thameer01,2017,1,MIL,NL,138,469,83,116,26,4,31,63.0,4.0,2.0,75,163.0,5.0,7.0,0.0,0.0,6.0
104182,tomasya01,2017,1,ARI,NL,47,166,19,40,11,1,8,32.0,0.0,0.0,13,50.0,0.0,0.0,0.0,1.0,2.0
104184,tomlike01,2017,1,SFN,NL,104,194,32,50,4,2,1,11.0,9.0,1.0,23,46.0,2.0,0.0,2.0,3.0,8.0
104188,torrelu01,2017,1,SDN,NL,56,123,7,20,3,1,0,7.0,0.0,0.0,12,30.0,3.0,1.0,3.0,0.0,4.0
