,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
68507,wilkecu01,1990,1,CHN,NL,77,186,21,41,5,1,0,16.0,2.0,2.0,7,36.0,2.0,0.0,3.0,0.0,4.0
68513,willima04,1990,1,SFN,NL,159,617,87,171,27,2,33,122.0,7.0,4.0,33,138.0,9.0,7.0,2.0,5.0,13.0
68517,wilsocr01,1990,1,SLN,NL,55,121,13,30,2,0,0,7.0,0.0,2.0,8,14.0,0.0,0.0,0.0,2.0,7.0
68518,wilsogl01,1990,1,HOU,NL,118,368,42,90,14,0,10,55.0,0.0,3.0,26,64.0,1.0,1.0,0.0,4.0,16.0
68525,winnihe01,1990,1,CIN,NL,84,160,20,41,8,5,3,17.0,6.0,4.0,14,31.0,1.0,0.0,2.0,1.0,0.0
68531,wynnema01,1990,1,CHN,NL,92,186,21,38,8,2,4,19.0,3.0,2.0,14,25.0,3.0,1.0,1.0,0.0,4.0
68532,yeldier01,1990,1,HOU,NL,142,511,69,130,9,5,1,28.0,64.0,25.0,39,87.0,1.0,0.0,4.0,5.0,11.0
68537,youngge02,1990,1,HOU,NL,57,154,15,27,4,1,1,4.0,6.0,3.0,20,23.0,0.0,0.0,4.0,1.0,3.0
68540,zeileto01,1990,1,SLN,NL,144,495,62,121,25,3,15,57.0,2.0,4.0,67,77.0,3.0,2.0,0.0,6.0,11.0
68544,abnersh01,1991,1,SDN,NL,53,115,15,19,4,1,1,5.0,0.0,0.0,7,25.0,4.0,1.0,1.0,1.0,3.0
68566,anderda02,1991,1,SFN,NL,100,226,24,56,5,2,2,13.0,2.0,4.0,12,35.0,2.0,0.0,2.0,0.0,8.0
68568,anthoer01,1991,1,HOU,NL,39,118,11,18,6,0,1,7.0,1.0,0.0,12,41.0,1.0,0.0,0.0,2.0,2.0
68579,backmwa01,1991,1,PHI,NL,94,185,20,45,12,0,0,15.0,3.0,2.0,30,30.0,0.0,0.0,2.0,3.0,2.0
68581,bagweje01,1991,1,HOU,NL,156,554,79,163,26,4,15,82.0,7.0,4.0,75,116.0,5.0,13.0,1.0,7.0,12.0
68589,barbebr01,1991,1,MON,NL,57,136,16,48,12,2,2,18.0,0.0,0.0,20,22.0,2.0,2.0,1.0,3.0,4.0
68595,basske01,1991,1,SFN,NL,124,361,43,84,10,4,10,40.0,7.0,4.0,36,56.0,8.0,4.0,2.0,3.0,12.0
68607,bellge02,1991,1,CHN,NL,149,558,63,159,27,0,25,86.0,2.0,6.0,32,62.0,6.0,4.0,0.0,9.0,10.0
68608,bellira01,1991,1,ATL,NL,149,353,36,88,9,2,0,27.0,3.0,1.0,22,63.0,2.0,2.0,7.0,1.0,4.0
68609,bellja01,1991,1,PIT,NL,157,608,96,164,32,8,16,67.0,10.0,6.0,52,99.0,1.0,4.0,30.0,3.0,15.0
68615,benjami01,1991,1,SFN,NL,54,106,12,13,3,0,2,8.0,3.0,0.0,7,26.0,2.0,2.0,3.0,2.0,1.0
68616,benzito01,1991,1,CIN,NL,51,123,7,23,3,2,1,11.0,2.0,0.0,10,20.0,2.0,0.0,1.0,2.0,2.0
68621,berryda01,1991,1,CHN,NL,62,159,13,30,7,0,5,14.0,1.0,2.0,11,41.0,1.0,1.0,0.0,1.0,2.0
68627,biggicr01,1991,1,HOU,NL,149,546,79,161,23,4,4,46.0,19.0,6.0,53,71.0,3.0,2.0,5.0,3.0,2.0
68633,blausje01,1991,1,ATL,NL,129,352,49,91,14,3,11,54.0,5.0,6.0,54,59.0,4.0,2.0,4.0,3.0,4.0
68640,bondsba01,1991,1,PIT,NL,153,510,95,149,28,5,25,116.0,43.0,13.0,107,73.0,25.0,4.0,0.0,13.0,8.0
68642,bonilbo01,1991,1,PIT,NL,157,577,102,174,44,6,18,100.0,2.0,4.0,90,67.0,8.0,2.0,0.0,11.0,14.0
68648,bostoda01,1991,1,NYN,NL,137,255,40,70,16,4,4,21.0,15.0,8.0,30,42.0,0.0,0.0,0.0,1.0,2.0
68655,bragggl01,1991,1,CIN,NL,85,250,36,65,10,0,11,39.0,11.0,3.0,23,46.0,3.0,2.0,0.0,4.0,4.0
