,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
67909,jeffegr01,1990,1,NYN,NL,153,604,96,171,40,3,15,68.0,11.0,2.0,46,40.0,2.0,5.0,0.0,4.0,12.0
67916,johnsho01,1990,1,NYN,NL,154,590,89,144,37,3,23,90.0,34.0,8.0,69,100.0,12.0,0.0,0.0,9.0,7.0
67924,jonesti02,1990,1,SLN,NL,67,128,9,28,7,1,1,12.0,3.0,4.0,12,20.0,1.0,1.0,4.0,0.0,1.0
67927,jordari02,1990,1,PHI,NL,92,324,32,78,21,0,5,44.0,2.0,0.0,13,39.0,6.0,5.0,0.0,4.0,9.0
67931,justida01,1990,1,ATL,NL,127,439,76,124,23,2,28,78.0,11.0,6.0,64,92.0,4.0,0.0,0.0,1.0,2.0
67935,kennete02,1990,1,SFN,NL,107,303,25,84,22,0,2,26.0,1.0,2.0,31,38.0,7.0,0.0,3.0,2.0,7.0
67941,kingemi01,1990,1,SFN,NL,105,207,24,61,7,1,0,24.0,6.0,1.0,12,19.0,0.0,1.0,5.0,1.0,1.0
67943,kingje01,1990,1,PIT,NL,127,371,46,91,17,1,14,53.0,3.0,3.0,21,50.0,1.0,1.0,2.0,7.0,12.0
67960,krukjo01,1990,1,PHI,NL,142,443,52,129,25,8,7,67.0,10.0,5.0,69,70.0,16.0,0.0,2.0,1.0,11.0
67973,lankfra01,1990,1,SLN,NL,39,126,12,36,10,1,3,12.0,8.0,2.0,13,27.0,0.0,0.0,0.0,0.0,1.0
67976,larkiba01,1990,1,CIN,NL,158,614,85,185,25,6,7,67.0,30.0,5.0,49,49.0,3.0,7.0,7.0,4.0,14.0
67978,lavalmi01,1990,1,PIT,NL,96,279,27,72,15,0,3,31.0,0.0,3.0,44,20.0,8.0,2.0,4.0,1.0,6.0
67981,leachri01,1990,1,SFN,NL,78,174,24,51,13,0,2,16.0,0.0,2.0,21,20.0,0.0,1.0,0.0,0.0,2.0
67993,lemkema01,1990,1,ATL,NL,102,239,22,54,13,0,0,21.0,0.0,1.0,21,22.0,3.0,0.0,4.0,2.0,6.0
68004,lindjo01,1990,1,PIT,NL,152,514,46,134,28,5,1,48.0,8.0,0.0,35,52.0,19.0,1.0,4.0,7.0,20.0
68007,littogr01,1990,1,SFN,NL,93,204,17,50,9,1,1,24.0,1.0,0.0,11,45.0,0.0,1.0,2.0,2.0,5.0
68017,lynnfr01,1990,1,SDN,NL,90,196,18,47,3,1,6,23.0,2.0,0.0,22,44.0,2.0,1.0,1.0,3.0,1.0
68029,magadda01,1990,1,NYN,NL,144,451,74,148,28,6,6,72.0,2.0,1.0,74,55.0,4.0,2.0,4.0,10.0,11.0
68042,marshmi02,1990,1,NYN,NL,53,163,24,39,8,1,6,27.0,0.0,2.0,7,40.0,0.0,3.0,0.0,3.0,2.0
68044,martica01,1990,1,PHI,NL,71,198,23,48,8,0,8,31.0,2.0,1.0,29,37.0,0.0,0.0,0.0,0.0,3.0
68047,martida01,1990,1,MON,NL,118,391,60,109,13,5,11,39.0,13.0,11.0,24,48.0,2.0,1.0,3.0,2.0,8.0
68059,mcclell01,1990,1,CHN,NL,49,107,5,17,3,0,1,10.0,1.0,0.0,14,21.0,2.0,0.0,0.0,1.0,2.0
68068,mcdowod01,1990,1,ATL,NL,113,305,47,74,14,0,7,25.0,13.0,2.0,21,53.0,0.0,2.0,0.0,1.0,3.0
68073,mcgeewi01,1990,1,SLN,NL,125,501,76,168,32,5,3,62.0,28.0,9.0,38,86.0,6.0,1.0,0.0,2.0,9.0
68085,mcreyke01,1990,1,NYN,NL,147,521,75,140,23,1,24,82.0,9.0,2.0,71,61.0,11.0,1.0,0.0,8.0,8.0
68101,milleke01,1990,1,NYN,NL,88,233,42,60,8,0,1,12.0,16.0,3.0,23,46.0,1.0,2.0,2.0,2.0,2.0
68108,mitchke01,1990,1,SFN,NL,140,524,90,152,24,2,35,93.0,4.0,7.0,58,87.0,9.0,2.0,0.0,5.0,8.0
68118,morriha02,1990,1,CIN,NL,107,309,50,105,22,3,7,36.0,9.0,3.0,21,32.0,4.0,1.0,3.0,2.0,12.0
